0.799986	0.377747	0.460151	0.657367	0.309875	0.997873	0.952524	0.416878	0.000000
0.279575	0.117028	0.534790	0.267583	0.156367	0.999329	0.917078	0.221686	0.000000
0.029917	0.967391	0.515650	0.154064	0.349695	0.448661	0.257305	0.719557	0.000000
0.018986	0.315165	0.254073	0.924948	0.331304	0.416159	0.196842	0.278812	0.000000
0.038957	0.212182	0.306907	0.823510	0.026657	0.634237	0.599857	0.850547	1.000000
0.390299	0.054219	0.163020	0.051003	0.357273	0.159815	0.997467	0.390239	0.000000
0.681268	0.107303	0.679828	0.970118	0.507746	0.307672	0.103701	0.199392	0.000000
0.655596	0.010128	0.419240	0.533567	0.932969	0.018079	0.055380	0.262404	1.000000
0.403444	0.277204	0.663432	0.568326	0.405137	0.561101	0.709865	0.916123	0.000000
0.640188	0.375140	0.413299	0.559668	0.870671	0.376911	0.963741	0.850044	0.000000
0.844662	0.551057	0.619679	0.137272	0.188539	0.089023	0.722694	0.555937	0.000000
0.213224	0.146860	0.639003	0.305113	0.556580	0.699365	0.739186	0.041845	0.000000
0.505304	0.627590	0.044346	0.776960	0.346606	0.879335	0.338221	0.273938	1.000000
0.898036	0.788706	0.186626	0.483976	0.943296	0.591890	0.728037	0.111900	0.000000
0.531494	0.306616	0.142868	0.279489	0.115959	0.663591	0.387021	0.850515	0.000000
0.775724	0.553415	0.799570	0.829678	0.159972	0.692408	0.649654	0.390229	0.000000
0.766932	0.389469	0.046305	0.555147	0.899385	0.890075	0.049612	0.601393	0.000000
0.322724	0.241765	0.709401	0.409521	0.462300	0.504929	0.385904	0.075903	1.000000
0.562309	0.792438	0.781601	0.061627	0.351743	0.275775	0.302739	0.236358	0.000000
0.468984	0.538117	0.789435	0.713400	0.074191	0.676768	0.179302	0.434975	0.000000
0.974712	0.724466	0.392235	0.393567	0.111543	0.865021	0.285024	0.610579	0.000000
0.954943	0.265329	0.989605	0.944362	0.316447	0.704062	0.969565	0.146105	0.000000
0.700991	0.962576	0.914823	0.926915	0.544446	0.625096	0.380576	0.508425	0.000000
0.181495	0.804615	0.472756	0.369340	0.709707	0.417152	0.819776	0.397275	0.000000
0.111184	0.181424	0.584392	0.127056	0.600648	0.288417	0.779226	0.884428	0.000000
0.174863	0.624596	0.892271	0.073119	0.639625	0.105209	0.285029	0.542368	1.000000
0.920346	0.983443	0.358709	0.620434	0.927426	0.712786	0.067967	0.685825	1.000000
0.599679	0.263931	0.087097	0.739840	0.414975	0.469793	0.708152	0.562997	0.000000
0.774648	0.492798	0.921522	0.319590	0.930704	0.388833	0.820878	0.534301	0.000000
0.281111	0.558374	0.632129	0.450675	0.885528	0.467607	0.914926	0.828371	0.000000
